event_id,evidence_role,source_url,title,organization,publication_or_event_date,retrieved_at_utc,extracted_fact,local_evidence_file,sha256
CA_a547b59a77462e2625dd,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-10-2018&to_date=31-10-2018,NSE corporate-action source record,NSE,2018-10-25,2026-09-14T16:49:46.072808+00:00,SCHEME OF DEMERGER,data\raw\corporate_actions\corporate_actions_20181001_20181031.json,171c715c41c3c1716977b5191db67ecc518bdffefff5e70e469f696c0cf1b09e
CA_a547b59a77462e2625dd,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporate/CKFSL_29052019202546_BMOutcomeNew_157.pdf,Cox and Kings Financial Service filing,NSE,2019-05-29,2026-09-16T22:22:22.432813+00:00,Three Cox and Kings shares entitled holder to one financial-services share,,
CA_df384ef3fc428b287dca,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-04-2018&to_date=30-04-2018,NSE corporate-action source record,NSE,2018-04-06,2026-09-14T16:49:41.384948+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20180401_20180430.json,cd591c88094bedf0edf92968045134fb3870479505d2ad642fe8852ef75937f5
CA_df384ef3fc428b287dca,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/SEQUENT_08082017_100512__1_.pdf,Solara scheme exchange observation,NSE,2017-08-08,2026-09-16T22:22:22.432813+00:00,Strides scheme includes Solara successor shares,,
CA_73d0e9f8b8e4a8fdb881,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-03-2015&to_date=31-03-2015,NSE corporate-action source record,NSE,2015-03-24,2026-09-14T16:49:12.218800+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20150301_20150331.json,a96abcd6cee0494853ed85620b02097320e224c224cc732610aee71e018b40b3
CA_73d0e9f8b8e4a8fdb881,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/scheme_NIRVIKARA_IM.pdf,Nirvikara Paper Mills information memorandum,NSE,2015,2026-09-16T22:22:22.432813+00:00,Balkrishna shareholders received Nirvikara Paper shares,,
CA_93e91333c57773c4c322,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-12-2019&to_date=31-12-2019,NSE corporate-action source record,NSE,2019-12-20,2026-09-14T16:49:58.865570+00:00,DEMERGER,data\raw\corporate_actions\corporate_actions_20191201_20191231.json,4f7c7882f26085843d9dcd5aefa222bcf12715995fb590135d69e8acaeb1fdcc
CA_93e91333c57773c4c322,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_POWERINDIA.pdf,ABB Power Products information memorandum,NSE,2019,2026-09-16T22:22:22.432813+00:00,ABB India power-grid business was demerged,,
CA_a16871c5bd0f20ab80ae,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-03-2020&to_date=31-03-2020,NSE corporate-action source record,NSE,2020-03-04,2026-09-14T16:50:01.698819+00:00,DEMERGER,data\raw\corporate_actions\corporate_actions_20200301_20200331.json,e9309ff44aa6bc304fba9e9e3d5a0b87cba3878d3667d96549135b30859485d0
CA_a16871c5bd0f20ab80ae,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.tata.com/newsroom/tata-consumer-products-announcement,Tata Global Beverages and Tata Chemicals announce transaction to combine consumer businesses,Tata Group,2019-05-15,2026-09-16T22:22:22.432813+00:00,Tata Chemicals holders receive 114 Tata Global Beverages shares per 100 existing shares,,
CA_a16871c5bd0f20ab80ae,RECIPIENT_EX_DATE_TRADE,https://nsearchives.nseindia.com/content/historical/EQUITIES/2020/MAR/cm04MAR2020bhav.csv.zip,Official NSE cash-equity bhavcopy,NSE,2020-03-04,2026-09-16T22:22:22.432813+00:00,TATACONSUM EQ INE192A01025 close INR 349.2,data\raw\bhavcopy_legacy\cm04MAR2020bhav.csv.zip,301a4495015f24d930132961ec28773fc053f07cb9d6bf62d7f376c046899cef
CA_d4350a4891573655ee29,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-10-2017&to_date=31-10-2017,NSE corporate-action source record,NSE,2017-10-17,2026-09-14T16:49:36.862252+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20171001_20171031.json,4f42dafa388deca3305712a64095fefde7419d9f23b27360073344601394f226
CA_d4350a4891573655ee29,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.bseindia.com/downloads/SPDJ_ANN/MediaReleasePDF/597349_mediarelease-changestos%26pbseindices-20171011.pdf,Index action for 5Paisa separation,BSE,2017-10-11,2026-09-16T22:22:22.432813+00:00,IIFL shareholders received 5Paisa shares under demerger,,
CA_d68d9be194519be0bb03,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-03-2016&to_date=31-03-2016,NSE corporate-action source record,NSE,2016-03-15,2026-09-14T16:49:22.028123+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20160301_20160331.json,8bf29288b90681bba79515ddb6f7419669ce3e9613fdf713a3e28276cf916b62
CA_d68d9be194519be0bb03,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/CGCEL_Information_Memorandum.pdf,Crompton Greaves Consumer Electricals information memorandum,NSE,2016,2026-09-16T22:22:22.432813+00:00,CG Power consumer electricals business demerged into newly listed company,,
CA_05d4bfc29668bda65981,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-02-2018&to_date=28-02-2018,NSE corporate-action source record,NSE,2018-02-01,2026-09-14T16:49:39.825463+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20180201_20180228.json,4bcb6ec3ec051a38b3a0542102163a8f26b1e5d6793fc8c82dc40c02ec64d821
CA_05d4bfc29668bda65981,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.sundaramfinance.in/assets/app_docs/investor-info/others/composite_amalgamation/8.information-memorandum.pdf,Sundaram Finance Holdings information memorandum,Sundaram Finance,2018,2026-09-16T22:22:22.432813+00:00,Sundaram Finance shareholders received Holdings shares,,
CA_37a577ddd19e6c78734c,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-02-2018&to_date=28-02-2018,NSE corporate-action source record,NSE,2018-02-26,2026-09-14T16:49:39.825463+00:00,BUYBACK,data\raw\corporate_actions\corporate_actions_20180201_20180228.json,4bcb6ec3ec051a38b3a0542102163a8f26b1e5d6793fc8c82dc40c02ec64d821
CA_37a577ddd19e6c78734c,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.sebi.gov.in/sebi_data/attachdocs/feb-2018/1518763680599.pdf,FDC Limited public announcement for buyback of equity shares,SEBI / FDC Limited,2018-02-07,2026-09-16T22:22:22.432813+00:00,Shareholder participation is voluntary and holders may choose not to tender,,
CA_579830341255203fac84,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-02-2021&to_date=28-02-2021,NSE corporate-action source record,NSE,2021-02-04,2026-09-14T16:50:11.349167+00:00,DEMERGER,data\raw\corporate_actions\corporate_actions_20210201_20210228.json,a74fa1d3bf8aa5a534ee4a0de7bd29043d3b81c496e559fa469cac5c10517671
CA_579830341255203fac84,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporate/FR_17052022160502.pdf,Jubilant Ingrevia annual filing,NSE,2022-05-17,2026-09-16T22:22:22.432813+00:00,Jubilant Life Sciences demerged its life-sciences business into Ingrevia,,
CA_73f2fd7856e2a8f125ac,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-11-2017&to_date=30-11-2017,NSE corporate-action source record,NSE,2017-11-29,2026-09-14T16:49:37.591835+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20171101_20171130.json,81f5f3efb2d1ad5a8700111b7c65fcb98ba048ae8e10855a36f6040238ea478d
CA_73f2fd7856e2a8f125ac,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.bseindia.com/downloads/SPDJ_ANN/MediaReleasePDF/620350_mediarelease-changestos%26pbse500index-20171122.pdf,Index action for Praxis Home Retail separation,BSE,2017-11-22,2026-09-16T22:22:22.432813+00:00,Future Retail separated its home retail business,,
CA_ee115bb800808115f870,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-05-2015&to_date=31-05-2015,NSE corporate-action source record,NSE,2015-05-28,2026-09-14T16:49:13.831300+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20150501_20150531.json,25ffba574bc06cc76be7bc65deeda3a9ebfc648702f529d94e6f9fbc9ec4db2d
CA_ee115bb800808115f870,SUPPLEMENTAL_PRIMARY_RESEARCH,https://research.ftserussell.com/products/index-notices/home/getnotice/?id=1357862,Arvind Infrastructure demerger index notice,FTSE Russell,2015,2026-09-16T22:22:22.432813+00:00,Arvind Infrastructure did not trade on the ex-date,,
CA_019fd8c24a498ee04449,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-07-2014&to_date=31-07-2014,NSE corporate-action source record,NSE,2014-07-25,2026-09-14T16:49:05.774209+00:00,DIVIDEND RE1/- PER SHARE + RIGHTS ISSUE 5:6,data\raw\corporate_actions\corporate_actions_20140701_20140731.json,54febb1134bd2fbc8940a374193fcba018890f6a5d658d5fd878e5f30f45a312
CA_019fd8c24a498ee04449,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.sebi.gov.in/sebi_data/attachdocs/1407492759261.pdf,Lakshmi Vilas Bank rights offer,SEBI,2014,2026-09-16T22:22:22.432813+00:00,Rights entitlement arose for ordinary shareholders,,
CA_2f55fb4bd474f29537b4,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-07-2014&to_date=31-07-2014,NSE corporate-action source record,NSE,2014-07-15,2026-09-14T16:49:05.774209+00:00,ANNUAL GENERAL MEETING / DIVIDEND - RE 0.60/- PER SHARE / BONUS 1 : 1,data\raw\corporate_actions\corporate_actions_20140701_20140731.json,54febb1134bd2fbc8940a374193fcba018890f6a5d658d5fd878e5f30f45a312
CA_2f55fb4bd474f29537b4,SUPPLEMENTAL_PRIMARY_RESEARCH,https://bsmedia.business-standard.com/_media/bs/data/announcements/bse/02062014/Shrenuj_%26_Company_Ltd_020614.pdf,Shrenuj and Company postal ballot notice,Shrenuj and Company Limited,2014-05-23,2026-09-16T22:22:22.432813+00:00,One bonus share per old share; 60 paise dividend on pre-bonus shares or 30 paise on each of two post-bonus shares,,
CA_1ef6e0f15339c33531c0,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-01-2016,NSE corporate-action source record,NSE,2016-01-27,2026-09-14T16:49:20.443062+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20160101_20160131.json,483f895185b6e7b217fdd3d190a4c937e1670c4c4412b1500147569fc9c88ca1
CA_1ef6e0f15339c33531c0,SUPPLEMENTAL_PRIMARY_RESEARCH,https://research.ftserussell.com/products/index-notices/home/getnotice/?id=1360484,Max group demerger index notice,FTSE Russell,2016,2026-09-16T22:22:22.432813+00:00,Max Financial demerger distributed new Max India and Max Ventures shares,,
CA_26c975868bc50d05ca8c,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-01-2018,NSE corporate-action source record,NSE,2018-01-30,2026-09-14T16:49:39.073534+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20180101_20180131.json,c9ed0667305d46f8669f826260d9b165f51aa901f895c51e365a4d22861f97fe
CA_26c975868bc50d05ca8c,SUPPLEMENTAL_PRIMARY_RESEARCH,https://research.ftserussell.com/products/index-notices/home/getnotice/?id=2587448,Gayatri Highway demerger index notice,FTSE Russell,2018,2026-09-16T22:22:22.432813+00:00,Gayatri Projects shareholders received Gayatri Highway shares,,
CA_426563cd086ccfc19532,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2022&to_date=31-01-2022,NSE corporate-action source record,NSE,2022-01-14,2026-09-14T16:50:21.599192+00:00,DEMERGER,data\raw\corporate_actions\corporate_actions_20220101_20220131.json,f44303100e9c0e350852cbfffe01997b7b1d8d4cc6496822ce1c34b888f774bf
CA_426563cd086ccfc19532,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_MSUMI.pdf,Motherson Sumi Wiring India information memorandum,NSE,2022,2026-09-16T22:22:22.432813+00:00,Motherson Sumi Systems distributed new wiring-company shares,,
CA_826bb50a86696de32912,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-01-2016,NSE corporate-action source record,NSE,2016-01-20,2026-09-14T16:49:20.443062+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20160101_20160131.json,483f895185b6e7b217fdd3d190a4c937e1670c4c4412b1500147569fc9c88ca1
CA_826bb50a86696de32912,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.abfrl.com/wp-content/uploads/2023/10/27-OUTCOME-OF-THE-BOARD-MEETING-HELD-FOR-THE-EFFECTIVENESS-OF-COMPOSITE-SCHEME-OF-ARRANGEMENT-ON-JANUARY-9-2016-Outcome_of_the_Board_Meeting_held_for_the_effectiveness_of_the_Composite.pdf,Outcome of board meeting for composite scheme of arrangement,Aditya Birla Nuvo Limited,2016-01-09,2026-09-16T22:22:22.432813+00:00,Nuvo holders receive 26 Pantaloons Fashion and Retail shares for every five Nuvo shares,,
CA_826bb50a86696de32912,RECIPIENT_EX_DATE_TRADE,https://nsearchives.nseindia.com/content/historical/EQUITIES/2016/JAN/cm20JAN2016bhav.csv.zip,Official NSE cash-equity bhavcopy,NSE,2016-01-20,2026-09-16T22:22:22.432813+00:00,PFRL EQ INE647O01011 close INR 218.8,data\raw\bhavcopy_legacy\cm20JAN2016bhav.csv.zip,6d1a931076e21118e54d1b4f17310b2642fbe6aaf459c0fc2834fb2b853e1335
CA_9e4a3e84724b4ddd5a30,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-01-2019,NSE corporate-action source record,NSE,2019-01-24,2026-09-14T16:49:49.079242+00:00,COMPOSITE SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20190101_20190131.json,9b7e280f8ddc3a0f32f3514600649f0add441f8e70887199fdc55dad812a816f
CA_9e4a3e84724b4ddd5a30,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporate/KPIT_15012019181317_Investorupdate_208.pdf,KPIT scheme investor update,NSE,2019-01-15,2026-09-16T22:22:22.432813+00:00,KPIT restructuring separated engineering and IT shares,,
CA_de3e781544bdace9ad7b,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-07-2014&to_date=31-07-2014,NSE corporate-action source record,NSE,2014-07-04,2026-09-14T16:49:05.774209+00:00,ANNUAL GENERAL MEETING / FINAL DIVIDEND - RS 7/- PER SHARE / BONUS 1 : 1,data\raw\corporate_actions\corporate_actions_20140701_20140731.json,54febb1134bd2fbc8940a374193fcba018890f6a5d658d5fd878e5f30f45a312
CA_de3e781544bdace9ad7b,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=LGBBROSLTD&type=4&vmode=vm,LG Balakrishnan and Bros corporate securities information,Metropolitan Stock Exchange of India,2014-07-04,2026-09-16T22:22:22.432813+00:00,One bonus ordinary share per old share and Rs 7 final dividend per old ordinary share,,
CA_10d544d633d683f23dca,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-09-2022&to_date=30-09-2022,NSE corporate-action source record,NSE,2022-09-08,2026-09-14T16:50:29.810401+00:00,DEMERGER,data\raw\corporate_actions\corporate_actions_20220901_20220930.json,8173b4400c28ce79c6f9b9cad9e8a47e00f2da161d0b5396b6b28dd7657a6b0e
CA_10d544d633d683f23dca,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_BLAL.pdf,BEML Land Assets information memorandum,NSE,2023,2026-09-16T22:22:22.432813+00:00,BEML land business was demerged to BEML Land Assets,,
CA_4c8e2f9282e35bca8325,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-09-2019&to_date=30-09-2019,NSE corporate-action source record,NSE,2019-09-17,2026-09-14T16:49:56.270401+00:00,DEMERGER,data\raw\corporate_actions\corporate_actions_20190901_20190930.json,decd24bbbd48c26db5d15024fc2e66e4a600b70bbb40b146414512fd95024971
CA_4c8e2f9282e35bca8325,SUPPLEMENTAL_PRIMARY_RESEARCH,https://research.ftserussell.com/products/index-notices/home/getnotice?id=2593883,Tata Communications Hemisphere demerger notice,FTSE Russell,2019,2026-09-16T22:22:22.432813+00:00,Tata Communications distributed Hemisphere Properties entitlement,,
CA_9712390351bb6336e11a,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-07-2017&to_date=31-07-2017,NSE corporate-action source record,NSE,2017-07-19,2026-09-14T16:49:34.502690+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20170701_20170731.json,185f4ffcdc3c858a7069d38128ecb8ee02b47ced26f0fb902c3157c62943c2e6
CA_9712390351bb6336e11a,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporate/GRASIM_26072019113602_Grasim_Annual_Report_FY19_Final_046.pdf,Grasim annual report,NSE,2019-07-26,2026-09-16T22:22:22.432813+00:00,Grasim separated its financial-services business into Aditya Birla Capital,,
CA_f55fe4c7dbe1fe161025,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-06-2020&to_date=30-06-2020,NSE corporate-action source record,NSE,2020-06-09,2026-09-14T16:50:03.989619+00:00,BUYBACK,data\raw\corporate_actions\corporate_actions_20200601_20200630.json,37485b0a7b53a0f687fc72da9f2d36e41ce462ae66f7bfb77b3fea28111c2a99
CA_f55fe4c7dbe1fe161025,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporate/TANLA_01062020165831_Final_Intemation_For_DLOF_Submission_to_SEs.pdf,Tanla Solutions draft letter of offer for buyback,Tanla Solutions Limited / NSE,2020-06-01,2026-09-16T22:22:22.432813+00:00,Participation is voluntary and eligible holders may choose not to tender,,
CA_8d241ef7b6f51f1aae85,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-06-2015&to_date=30-06-2015,NSE corporate-action source record,NSE,2015-06-03,2026-09-14T16:49:14.559160+00:00,SCHEME OF ARRANGEMENT,data\raw\corporate_actions\corporate_actions_20150601_20150630.json,26a9a4e7913d1a66353c0003c8e624cf6e1160c63371cfd3a5bdf8c93ecef300
CA_8d241ef7b6f51f1aae85,SUPPLEMENTAL_PRIMARY_RESEARCH,https://research.ftserussell.com/products/index-notices/home/getnotice/?id=1357903,Adani Enterprises demerger index notice,FTSE Russell,2015,2026-09-16T22:22:22.432813+00:00,Adani distribution included listed and unlisted successor interests,,
CA_9a44748e33a9e6bfc8f7,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-10-2015&to_date=31-10-2015,NSE corporate-action source record,NSE,2015-10-01,2026-09-14T16:49:17.963588+00:00,DEMERGER,data\raw\corporate_actions\corporate_actions_20151001_20151031.json,0db9d2029a1c2aa93616075f2d191e39829dad9bde7b5b095661341653432f69
CA_9a44748e33a9e6bfc8f7,SUPPLEMENTAL_PRIMARY_RESEARCH,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/scheme_IDFCBANK_IM.pdf,IDFC Bank information memorandum,NSE,2015,2026-09-16T22:22:22.432813+00:00,IDFC shareholders received IDFC Bank shares under scheme,,
CA_2a13e69ce26f43736219,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-03-2014&to_date=31-03-2014,NSE corporate-action source record,NSE,2014-03-03,2026-09-14T16:49:02.622116+00:00,BONUS PREFERENCE SHARES 21:1,data\raw\corporate_actions\corporate_actions_20140301_20140331.json,127ffad6c1f82712fdf61f59a7f0578df358388724ba627e1c1ca68de5dfa268
CA_2a13e69ce26f43736219,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.zee.com/shareholder-services/,Zee shareholder services,Zee Entertainment,2014,2026-09-16T22:22:22.432813+00:00,Zee distributed redeemable preference shares to ordinary holders,,
CA_58169035bd7640bbf863,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-03-2014&to_date=31-03-2014,NSE corporate-action source record,NSE,2014-03-19,2026-09-14T16:49:02.622116+00:00,RIGHTS 7:50 @ PREMIUM RS.59/- PER EQUITY SHARE,data\raw\corporate_actions\corporate_actions_20140301_20140331.json,127ffad6c1f82712fdf61f59a7f0578df358388724ba627e1c1ca68de5dfa268
CA_58169035bd7640bbf863,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.sebi.gov.in/sebi_data/attachdocs/1397559703701.pdf,Tata Power rights offer,SEBI,2014,2026-09-16T22:22:22.432813+00:00,Rights entitlement arose for Tata Power shareholders,,
CA_8274f48d00b93a70bd00,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-03-2014&to_date=31-03-2014,NSE corporate-action source record,NSE,2014-03-13,2026-09-14T16:49:02.622116+00:00,RIGHTS 27:100 @ PREMIUM RS.90/- PER EQUITY SHARE,data\raw\corporate_actions\corporate_actions_20140301_20140331.json,127ffad6c1f82712fdf61f59a7f0578df358388724ba627e1c1ca68de5dfa268
CA_8274f48d00b93a70bd00,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.sebi.gov.in/sebi_data/attachdocs/1398423018558.pdf,ILFS Transportation rights offer,SEBI,2014,2026-09-16T22:22:22.432813+00:00,Rights entitlement arose for ILFS Transportation shareholders,,
CA_a8d345a42906ab916c08,NSE_SOURCE_ACTION,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-03-2014&to_date=31-03-2014,NSE corporate-action source record,NSE,2014-03-25,2026-09-14T16:49:02.622116+00:00,BONUS 1:1 / FACE VALUE SPLIT FROM RS.10/- TO RS.5/-,data\raw\corporate_actions\corporate_actions_20140301_20140331.json,127ffad6c1f82712fdf61f59a7f0578df358388724ba627e1c1ca68de5dfa268
CA_a8d345a42906ab916c08,SUPPLEMENTAL_PRIMARY_RESEARCH,https://www.bseindia.com/bseplus/AnnualReport/532826/5328260314.pdf,Raj Television Network annual report 2013-14,Raj Television Network Limited,2014,2026-09-16T22:22:22.432813+00:00,One Rs 10 share became two Rs 5 shares and each post-split share received one bonus share,,
