priority_group,event_id,security_id,symbol,event_date,event_type,previous_status,final_status,treatment,evidence_sources_checked,affected_scored_formations_before,affected_warmup_formations_before,affected_formations_after,changed_eligibility,changed_k,changed_own_winner_membership,missing_evidence
SCORED_WINNER_UNCERTAINTY,CA_05d4bfc29668bda65981,NSE_D33E443DE34A,SUNDARMFIN,2018-02-01,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-02-2018&to_date=28-02-2018;https://www.sundaramfinance.in/assets/app_docs/investor-info/others/composite_amalgamation/8.information-memorandum.pdf,5,0,5,False,True,False,Contemporaneous ex-date value for new Holdings shares
SCORED_WINNER_UNCERTAINTY,CA_579830341255203fac84,NSE_7E9F9084BD7D,JUBLPHARMA,2021-02-04,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-02-2021&to_date=28-02-2021;https://nsearchives.nseindia.com/corporate/FR_17052022160502.pdf,5,0,5,False,False,False,Contemporaneous ex-date value for then-unlisted Ingrevia
SCORED_WINNER_UNCERTAINTY,CA_73f2fd7856e2a8f125ac,NSE_E987DDA51421,FRETAIL,2017-11-29,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-11-2017&to_date=30-11-2017;https://www.bseindia.com/downloads/SPDJ_ANN/MediaReleasePDF/620350_mediarelease-changestos%26pbse500index-20171122.pdf,5,0,5,False,False,False,Contemporaneous ex-date value and complete holder ratio for Praxis shares
SCORED_WINNER_UNCERTAINTY,CA_ee115bb800808115f870,NSE_C60D64EC58FE,ARVIND,2015-05-28,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-05-2015&to_date=31-05-2015;https://research.ftserussell.com/products/index-notices/home/getnotice/?id=1357862,5,0,5,False,False,False,Contemporaneous ex-date value for unlisted Arvind Infrastructure
SCORED_WINNER_UNCERTAINTY,CA_019fd8c24a498ee04449,NSE_0E88CB8DDD57,LAKSHVILAS,2014-07-25,RIGHTS,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-07-2014&to_date=31-07-2014;https://www.sebi.gov.in/sebi_data/attachdocs/1407492759261.pdf,4,7,11,False,True,False,Point-in-time market value of the rights entitlement and confirmed treatment of coincident dividend
SCORED_WINNER_UNCERTAINTY,CA_1ef6e0f15339c33531c0,NSE_98CBA18954BD,MFSL,2016-01-27,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-01-2016;https://research.ftserussell.com/products/index-notices/home/getnotice/?id=1360484,4,0,4,False,True,False,Contemporaneous ex-date values for distributed unlisted shares
SCORED_WINNER_UNCERTAINTY,CA_26c975868bc50d05ca8c,NSE_1EDC5AB6BDE5,GAYAPROJ,2018-01-30,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2018&to_date=31-01-2018;https://research.ftserussell.com/products/index-notices/home/getnotice/?id=2587448,4,0,4,False,True,False,Contemporaneous ex-date value for new Highway share
SCORED_WINNER_UNCERTAINTY,CA_426563cd086ccfc19532,NSE_108254EF6AA4,MOTHERSON,2022-01-14,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2022&to_date=31-01-2022;https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_MSUMI.pdf,4,0,4,False,False,False,Contemporaneous ex-date value for then-unlisted wiring shares
SCORED_WINNER_UNCERTAINTY,CA_9e4a3e84724b4ddd5a30,NSE_64BF9F3DBA41,BSOFT,2019-01-24,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2019&to_date=31-01-2019;https://nsearchives.nseindia.com/corporate/KPIT_15012019181317_Investorupdate_208.pdf,4,0,4,False,False,False,Contemporaneous ex-date value for new engineering share
SCORED_WINNER_UNCERTAINTY,CA_10d544d633d683f23dca,NSE_873E06A5291B,BEML,2022-09-08,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-09-2022&to_date=30-09-2022;https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_BLAL.pdf,3,0,3,False,False,False,Contemporaneous ex-date value for then-unlisted Land Assets share
SCORED_WINNER_UNCERTAINTY,CA_4c8e2f9282e35bca8325,NSE_C941893EE311,TATACOMM,2019-09-17,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-09-2019&to_date=30-09-2019;https://research.ftserussell.com/products/index-notices/home/getnotice?id=2593883,3,0,3,False,False,False,Contemporaneous ex-date value for unlisted Hemisphere Properties
SCORED_WINNER_UNCERTAINTY,CA_9712390351bb6336e11a,NSE_951F0DE091F9,GRASIM,2017-07-19,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-07-2017&to_date=31-07-2017;https://nsearchives.nseindia.com/corporate/GRASIM_26072019113602_Grasim_Annual_Report_FY19_Final_046.pdf,3,0,3,False,False,False,Contemporaneous ex-date value for then-unlisted Aditya Birla Capital
SCORED_WINNER_UNCERTAINTY,CA_8d241ef7b6f51f1aae85,NSE_42CD50DCCBD6,ADANIENT,2015-06-03,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-06-2015&to_date=30-06-2015;https://research.ftserussell.com/products/index-notices/home/getnotice/?id=1357903,2,0,2,False,False,False,Complete evidenced ex-date valuation of every distributed economic leg
SCORED_WINNER_UNCERTAINTY,CA_9a44748e33a9e6bfc8f7,NSE_1671B749B56F,IDFC,2015-10-01,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-10-2015&to_date=31-10-2015;https://nsearchives.nseindia.com/corporates/offerdocument/scheme/scheme_IDFCBANK_IM.pdf,1,0,1,False,False,False,Contemporaneous ex-date value for then-unlisted IDFC Bank
WARMUP_ONLY_SHADOW_DEPENDENCY,CA_2a13e69ce26f43736219,NSE_0144F0CB1BA0,ZEEL,2014-03-03,PREFERENCE_SHARE_BONUS,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-03-2014&to_date=31-03-2014;https://www.zee.com/shareholder-services/,0,7,7,False,True,False,Contemporaneous ex-date value for the preference-share entitlement
WARMUP_ONLY_SHADOW_DEPENDENCY,CA_58169035bd7640bbf863,NSE_53A37C11E6D9,TATAPOWER,2014-03-19,RIGHTS,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-03-2014&to_date=31-03-2014;https://www.sebi.gov.in/sebi_data/attachdocs/1397559703701.pdf,0,7,7,False,True,False,Confirmed final rights ratio and point-in-time market value of entitlement; filed sources conflict on ratio
WARMUP_ONLY_SHADOW_DEPENDENCY,CA_8274f48d00b93a70bd00,NSE_938AB0376CFC,IL&FSTRANS,2014-03-13,RIGHTS,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-03-2014&to_date=31-03-2014;https://www.sebi.gov.in/sebi_data/attachdocs/1398423018558.pdf,0,7,7,False,True,False,Point-in-time market value of rights entitlement
WARMUP_ONLY_SHADOW_DEPENDENCY,CA_943bf15d9518ab3239fe,NSE_AE2862139B09,WHEELS,2014-02-13,RIGHTS,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-02-2014&to_date=28-02-2014;https://www.sebi.gov.in/web/?file=%2Fsebi_data%2Fattachdocs%2F1392876830610.pdf,0,5,5,False,True,False,Point-in-time market value of rights entitlement
WARMUP_ONLY_SHADOW_DEPENDENCY,CA_f8990b3551e9950dca04,NSE_DD6A0E2BA440,WELCORP,2014-02-18,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-02-2014&to_date=28-02-2014;https://nsearchives.nseindia.com/corporates/offerdocument/scheme/scheme_WELSPUN_IM.pdf,0,5,5,False,True,False,Contemporaneous ex-date value for then-unlisted Enterprises
WARMUP_ONLY_SHADOW_DEPENDENCY,CA_c0367514c7cc21c72f42,NSE_3FA872F937F6,MARICO,2013-11-01,STRUCTURAL,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED_ECONOMIC_TREATMENT,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-11-2013&to_date=30-11-2013;https://marico.com/global/media/detail/marico-consolidates-fmcg-business-demerges-kaya-to-be-listed-separately-as-marico-kaya-enterprises-ltd?id=211&type=press,0,3,3,False,True,False,Contemporaneous ex-date value for unlisted Kaya shares and complete cash treatment
IDENTITY_ORPHAN,CA_25d92bfd331e98d5bc85,,IDFCFIRSTB,2015-10-29,BUYBACK,UNRESOLVED_IDENTITY,UNRESOLVED_IDENTITY,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-10-2015&to_date=31-10-2015;https://www.idfcfirst.bank.in/content/dam/IDFCFirstBank/PDF/Annual-reports/IDFC-FIRST-Bank-Annual-Report-2019.pdf,0,0,0,False,False,False,Exact historical bond ISIN is not established by retroactive source field
IDENTITY_ORPHAN,CA_eb8ec60bd0c8f1584789,,IDFCFIRSTB,2015-10-29,BUYBACK,UNRESOLVED_IDENTITY,UNRESOLVED_IDENTITY,UNRESOLVED,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-10-2015&to_date=31-10-2015;https://www.idfcfirst.bank.in/content/dam/IDFCFirstBank/PDF/Annual-reports/IDFC-FIRST-Bank-Annual-Report-2019.pdf,0,0,0,False,False,False,Exact historical bond ISIN is not established by retroactive source field
