evidence_id,filename,source_url,authority,document_type,publication_date,document_date,publication_date_status,effective_date,relevant_terms,review_status,local_file,retrieved_at_utc,sha256,bytes,parsing_status,publication_timestamp_ist
NTPC_BONUS_DEBENTURE_TRANSCRIPT,ntpc_bonus_debenture_transcript.pdf,https://ntpc.co.in/sites/default/files/inline-files/transcriptq42014-15.pdf,NTPC Limited,company_results_transcript,,2015-05-29,NOT_VERIFIED_FROM_PRESERVED_DOCUMENT,2015-03-20,"One Rs 12.50 debenture per equity share, 8.49% coupon, principal redeemed 20:40:40 after 8, 9 and 10 years; ex-date fair value is not supplied.",TERMS_REVIEWED_VALUE_UNRESOLVED,data/raw/corporate_action_evidence/ntpc_bonus_debenture_transcript.pdf,2026-09-15T08:13:48.908648+00:00,dfa9c822072f514dff561b6fe55a09433977a58f2e6589bb05e3e6e3a05065dd,129959,MANUAL_REVIEW_COMPLETE,
BRITANNIA_AR_2021_22_2019_EVENT,britannia_annual_report_2021_22.pdf,https://nsearchives.nseindia.com/corporate/BRITANNIA_03062022000002_IntimationAnnualReport2022.pdf,Britannia Industries Limited filing preserved by NSE,company_annual_report,2022-06-03,2022-06-03,STATED_EXCHANGE_FILING_DATE,2019-08-22,"2019 debenture: 1:1, Rs 30 face, 8%, three years. Ex-date fair value is not supplied.",TERMS_REVIEWED_VALUE_UNRESOLVED,data/raw/corporate_action_evidence/britannia_annual_report_2021_22.pdf,2026-09-15T08:13:43.757971+00:00,ff6be590d862e85ad2992d1f270a5184a3736db02b23d58c0dcfb44578407263,19016966,MANUAL_REVIEW_COMPLETE,
BRITANNIA_AR_2021_22_2021_EVENT,britannia_annual_report_2021_22.pdf,https://nsearchives.nseindia.com/corporate/BRITANNIA_03062022000002_IntimationAnnualReport2022.pdf,Britannia Industries Limited filing preserved by NSE,company_annual_report,2022-06-03,2022-06-03,STATED_EXCHANGE_FILING_DATE,2021-05-25,"2021 debenture: 1:1, Rs 29 face, 5.5%. Ex-date fair value is not supplied.",TERMS_REVIEWED_VALUE_UNRESOLVED,data/raw/corporate_action_evidence/britannia_annual_report_2021_22.pdf,2026-09-15T08:13:43.757971+00:00,ff6be590d862e85ad2992d1f270a5184a3736db02b23d58c0dcfb44578407263,19016966,MANUAL_REVIEW_COMPLETE,
BLUEDART_AR_2014_15,bluedart_annual_report_2014_15.pdf,https://bluedart.com/documents/20182/380977/annualreport2014-15/4a52cf7b-5013-91fc-2e77-d500703d7449,Blue Dart Express Limited,company_annual_report,,,NOT_VERIFIED_FROM_PRESERVED_DOCUMENT,2014-11-17,"Post-ex-date report states 9.3%, 9.4% and 9.5% coupons, 2014-11-21 allotment and 2017/2018/2019 redemption dates; it does not establish when the coupons were fixed.",POST_EX_TERMS_ONLY_NOT_ADMISSIBLE_FOR_EX_DATE_VALUE,data/raw/corporate_action_evidence/bluedart_annual_report_2014_15.pdf,2026-09-15T20:52:55.151189+00:00,cb0eb05ed9e73a08ea7c5140f2442aaa93e68d2dab6d8160c1edf8b87352ca75,10142540,MANUAL_REVIEW_COMPLETE,
NSE_BLUEDART_LISTING_2014_11_26,nse_bluedart_listing_2014_11_26.html,https://nsearchives.nseindia.com/content/press/26112014.htm,National Stock Exchange of India,exchange_listing_press_release,2014-11-26,2014-11-26,STATED_EXCHANGE_RELEASE_DATE,2014-11-17,"Post-ex-date listing notice identifies N1/N2/N3 ISINs and the 9.3%, 9.4% and 9.5% coupons.",POST_EX_TERMS_ONLY_NOT_ADMISSIBLE_FOR_EX_DATE_VALUE,data/raw/corporate_action_evidence/nse_bluedart_listing_2014_11_26.html,2026-09-15T20:56:08.646004+00:00,d0bf9b61dbb1a4a8b5d49ad66739f719203d230be60e27b53cc9d665f49afd51,141390,MANUAL_REVIEW_COMPLETE,
BSE_NTPC_COUPON_ANNOUNCEMENT_2015_03_20,bse_ntpc_coupon_announcement_2015_03_20.json,https://api.bseindia.com/BseIndiaAPI/api/AnnSubCategoryGetData/w?pageno=1&strCat=-1&subcategory=&strPrevDate=20150319&strscrip=532555&strSearch=P&strToDate=20150321&strType=C,BSE Limited,official_exchange_announcement_api_response,2015-03-20,2015-03-20,STATED_EXCHANGE_ARCHIVE_TIMESTAMP,2015-03-20,"BSE archive states that NTPC fixed the coupon at 8.49% payable annually and timestamps the announcement 19:47:23 on the equity ex-date, after market close.",POINT_IN_TIME_TERMS_FAIL_DISCLOSED_AFTER_EX_DATE_CLOSE,data/raw/corporate_action_evidence/bse_ntpc_coupon_announcement_2015_03_20.json,2026-09-15T21:09:24.324240+00:00,b2f936a647a0caed4592849d563e07ffd7fedb35b250f29f79087f94c6dee56b,1224,MANUAL_REVIEW_COMPLETE,2015-03-20T19:47:23+05:30
NTPC_PIB_RELEASE_2015_03_26,ntpc_pib_release_2015_03_26.pdf,https://dea.gov.in/files/press_release_documents/NTPC_issue_Bonus_Debentures26032015.pdf,Government of India Press Information Bureau,government_press_release,2015-03-26,2015-03-26,STATED_GOVERNMENT_RELEASE_DATE,2015-03-20,"Post-ex-date release confirms one Rs 12.50 debenture, 8.49% annual fixed coupon, AAA ratings and staged redemption in years 8, 9 and 10.",POST_EX_TERMS_ONLY_NOT_ADMISSIBLE_FOR_EX_DATE_VALUE,data/raw/corporate_action_evidence/ntpc_pib_release_2015_03_26.pdf,2026-09-15T20:56:09.259054+00:00,1eaacd9e56e104c2bf677028b14ae7bd2b4c3e66161e7385523e569d54032f2c,285223,MANUAL_REVIEW_COMPLETE,
NSE_NTPC_LISTING_2015_03_27,nse_ntpc_listing_2015_03_27.html,https://nsearchives.nseindia.com/content/press/27032015.htm,National Stock Exchange of India,exchange_listing_press_release,2015-03-27,2015-03-27,STATED_EXCHANGE_RELEASE_DATE,2015-03-20,Post-ex-date listing notice identifies the 8.49% NTPC bonus debenture and ISIN INE733E07JP6.,POST_EX_TERMS_ONLY_NOT_ADMISSIBLE_FOR_EX_DATE_VALUE,data/raw/corporate_action_evidence/nse_ntpc_listing_2015_03_27.html,2026-09-15T20:56:09.439292+00:00,24aa8970117b02e01e0d88a6781e0afd72c5ad75428165b553bdf75c1b451a5d,142866,MANUAL_REVIEW_COMPLETE,
BRITANNIA_IM_2019,britannia_information_memorandum_2019.pdf,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_BRITANNIA.pdf,Britannia Industries Limited filing preserved by NSE,scheme_and_information_memorandum,,,NOT_VERIFIED_FROM_PRESERVED_DOCUMENT,2019-08-22,"The scheme says the Board determines the coupon on the 2019-08-23 record date; the later term sheet states 8%, 2019-08-28 allotment and 2022-08-28 redemption.",POINT_IN_TIME_TERMS_FAIL_COUPON_SET_AFTER_EX_DATE,data/raw/corporate_action_evidence/britannia_information_memorandum_2019.pdf,2026-09-15T20:52:57.569902+00:00,34e6989988eaeb031450aa99e8c4d5480d9d8ef02c53c0352f1c35c4453287d8,4618125,MANUAL_REVIEW_COMPLETE,
BRITANNIA_ALLOTMENT_2019_08_28,britannia_allotment_2019_08_28.pdf,https://nsearchives.nseindia.com/corporate/BRITANNIA_28082019165059_OUTCOMEBONUSDEBENTURECOMMITTEEALLOTMENT_260.pdf,Britannia Industries Limited filing preserved by NSE,exchange_allotment_filing,2019-08-28,2019-08-28,STATED_EXCHANGE_FILING_DATE,2019-08-22,Post-ex-date allotment filing confirms one Rs 30 debenture per share and an 8% coupon.,POST_EX_TERMS_ONLY_NOT_ADMISSIBLE_FOR_EX_DATE_VALUE,data/raw/corporate_action_evidence/britannia_allotment_2019_08_28.pdf,2026-09-15T20:56:08.227320+00:00,995e83f7c68662cf37aff57ceae325ec9fbbc953af5a3b59ad066bfbb639cbf2,2097177,MANUAL_REVIEW_COMPLETE,
BRITANNIA_TERMS_2021_05_21,britannia_terms_2021_05_21.pdf,https://archives.nseindia.com/corporate/BRITANNIA_21052021165600_Intimtion21052021.pdf,Britannia Industries Limited filing preserved by NSE,exchange_terms_filing,2021-05-21,2021-05-21,STATED_EXCHANGE_FILING_DATE,2021-05-25,"Pre-ex-date terms fix one Rs 29 debenture per share, annual payments and three-year tenor, but explicitly defer coupon setting until after scheme approval and before allotment.",POINT_IN_TIME_TERMS_FAIL_COUPON_SET_AFTER_EX_DATE,data/raw/corporate_action_evidence/britannia_terms_2021_05_21.pdf,2026-09-15T20:52:55.576094+00:00,bcd93438f9928705c45895ee9bfcbeae4433b2592b561ce27b6583c0b734a0ee,663640,MANUAL_REVIEW_COMPLETE,
BRITANNIA_ALLOTMENT_2021_06_03,britannia_allotment_2021_06_03.pdf,https://archives.nseindia.com/corporate/BRITANNIA_03062021131616_OUTCOMEOFBDC03062021.pdf,Britannia Industries Limited filing preserved by NSE,exchange_allotment_filing,2021-06-03,2021-06-03,STATED_EXCHANGE_FILING_DATE,2021-05-25,"Post-ex-date filing fixes the 5.5% coupon, 2021-06-03 allotment and 2024-06-03 redemption.",POST_EX_TERMS_ONLY_NOT_ADMISSIBLE_FOR_EX_DATE_VALUE,data/raw/corporate_action_evidence/britannia_allotment_2021_06_03.pdf,2026-09-15T20:56:07.976099+00:00,42aa7a0226f8662f8e8fc0019ed4e30323eedcf52e7a3fec806648e0a8d2b5fa,327176,MANUAL_REVIEW_COMPLETE,
FIMMDA_VALUATION_CIRCULAR_2012,fimmda_valuation_circular_march_2012.pdf,https://fimmda.org/uploads/general/Valuation-Circ-March2012.pdf,Fixed Income Money Market and Derivatives Association of India,official_bond_valuation_methodology,2012-03-01,2012-03-01,STATED_CIRCULAR_DATE,2012-03-01,Corporate bonds use coupon-frequency base curves plus rating spreads; intermediate tenors may be interpolated; qualifying issuer traded spreads have a 15-day maximum lookback; staggered principal uses weighted-average maturity.,METHODOLOGY_REVIEWED,data/raw/corporate_action_evidence/fimmda_valuation_circular_march_2012.pdf,2026-09-15T20:52:57.731091+00:00,d8eaaca50938146c704739c3772605a928d375fa29384f625764d48de1244126,180027,MANUAL_REVIEW_COMPLETE,
