symbol,isin,company_name
ADANIENT,INE423A01024,Adani Enterprises Limited
ADANIGREEN,INE364U01010,Adani Green Energy Limited
ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Limited
ADANIPOWER,INE814H01029,Adani Power Limited
ADDIND,INE757C01021,Addi Industries Limited
ADFFOODS,INE982B01027,ADF Foods Limited
ADL,INE0CHO01012,Archidply Decor Limited
ADOR,INE045A01017,Ador Welding Limited
ADROITINFO,INE737B01033,Adroit Infotech Limited
ADSL,INE102I01027,Allied Digital Services Limited
ADVAIT,INE0ALI01010,Advait Energy Transitions Limited
ADVANCE,INE1B0W01010,Advance Agrolife Limited
ADVANIHOTR,INE199C01026,Advani Hotels & Resorts (India) Limited
ADVENTHTL,INE28GN01010,Advent Hotels International Limited
ADVENZYMES,INE837H01020,Advanced Enzyme Technologies Limited
ADVIKCA,INE178T01024,Advik Capital Limited
AEGISLOG,INE208C01025,Aegis Logistics Limited
AEGISVOPAK,INE0INX01018,Aegis Vopak Terminals Limited
AEPL,INE757T01025,Artemis Electricals and Projects Limited
AEQUS,INE947N01017,Aequs Limited
AEROENTER,INE065D01027,Aeroflex Enterprises Limited
AEROFLEX,INE024001021,Aeroflex Industries Limited
AERONEU,INE035801013,Aeroflex Neu Limited
AEROPLANE,INE05TO01019,Amir Chand Jagdish Kumar (Exports) Limited
AETHER,INE0BWX01014,Aether Industries Limited
AFCONS,INE101I01011,Afcons Infrastructure Limited
AFFLE,INE00WC01027,Affle 3i Limited
AFFORDABLE,INE692Z01013,Affordable Robotic & Automation Limited
AFIL,INE916Y01027,Akme Fintrade (India) Limited
AFSL,INE00ZE01026,Abans Financial Services Limited
AGARIND,INE204E01012,Agarwal Industrial Corporation Limited
AGARWALEYE,INE943P01029,Dr. Agarwal's Health Care Limited
AGI,INE415A01038,AGI Greenpac Limited
AGIIL,INE976R01033,Agi Infra Limited
AGL,INE1YPB01014,Allcargo Global Limited
AGRITECH,INE449G01018,Agri-Tech (India) Limited
AGROPHOS,INE740V01019,Agro Phos India Limited
AGSTRA,INE583L01014,AGS Transact Technologies Limited
AHCL,INE0Y8W01025,Anlon Healthcare Limited
AHLADA,INE00PV01013,Ahlada Engineers Limited
AHLEAST,INE926K01017,Asian Hotels (East) Limited
AHLUCONT,INE758C01029,Ahluwalia Contracts (India) Limited
AHLWEST,INE915K01010,Asian Hotels (West) Limited
AIAENG,INE212H01026,AIA Engineering Limited
AIIL,INE206F01022,Authum Investment & Infrastructure Limited
AIRAN,INE645W01026,Airan Limited
AIROLAM,INE801L01010,Airo Lam limited
AJANTPHARM,INE031B01049,Ajanta Pharma Limited
AJAXENGG,INE274Y01021,Ajax Engineering Limited
AJMERA,INE298G01035,Ajmera Realty & Infra India Limited
AJOONI,INE820Y01021,Ajooni Biotech Limited
AKASH,INE737W01013,Akash Infra-Projects Limited
AKCAPIT,INE701G01012,AK Capital Services Limited
AKG,INE00Y801016,Akg Exim Limited
AKI,INE642Z01026,AKI India Limited
AKSHAR,INE256Z01025,Akshar Spintex Limited
AKSHARCHEM,INE542B01011,AksharChem India Limited
AKSHOPTFBR,INE523B01011,Aksh Optifibre Limited
AKUMS,INE09XN01023,Akums Drugs and Pharmaceuticals Limited
ALANKIT,INE914E01040,Alankit Limited
ALBERTDAVD,INE155C01010,Albert David Limited
ALEMBICLTD,INE426A01027,Alembic Limited
ALFREDHE,INE782D01027,Alfred Herbert India Limited
ALGOQUANT,INE598D01035,Algoquant Fintech Limited
ALICON,INE062D01024,Alicon Castalloy Limited
ALIVUS,INE03Q201024,Alivus Life Sciences Limited
ALKALI,INE773I01017,Alkali Metals Limited
ALKEM,INE540L01014,Alkem Laboratories Limited
ALKYLAMINE,INE150B01039,Alkyl Amines Chemicals Limited
ALLCARGO,INE418H01029,Allcargo Logistics Limited
ALLDIGI,INE835G01018,Alldigi Tech Limited
ALLTIME,INE0GV601021,All Time Plastics Limited
ALMONDZ,INE326B01035,Almondz Global Securities Limited
ALOKINDS,INE270A01029,Alok Industries Limited
ALPA,INE385I01010,Alpa Laboratories Limited
ALPHAGEO,INE137C01018,Alphageo (India) Limited
ALPINETEX,INE1JCQ01037,Alpine Texworld Limited
ALUFLUOR,INE058F01019,Alufluoride Limited
AMAGI,INE121R01077,Amagi Media Labs Limited
AMAL,INE841D01013,Amal Limited
AMANTA,INE084K01015,Amanta Healthcare Limited
AMARJOTHI,INE484D01012,Amarjothi Spinning Mills Limited
AMBALALSA,INE432A01017,Ambalal Sarabhai Enterprises Limited
AMBER,INE371P01015,Amber Enterprises India Limited
AMBICAAGAR,INE792B01012,Ambica Agarbathies & Aroma industries Limited
AMBIKCO,INE540G01014,Ambika Cotton Mills Limited
AMBUJACEM,INE079A01024,Ambuja Cements Limited
AMDIND,INE005I01014,AMD Industries Limited
AMJLAND,INE606A01024,Amj Land Holdings Limited
AMNPLST,INE275D01022,Amines & Plasticizers Limited
AMRUTANJAN,INE098F01031,Amrutanjan Health Care Limited
ANANDRATHI,INE463V01026,Anand Rathi Wealth Limited
ANANTRAJ,INE242C01024,Anant Raj Limited
ANDHRAPAP,INE435A01051,ANDHRA PAPER LIMITED
ANDHRSUGAR,INE715B01021,The Andhra Sugars Limited
ANDREWYU,INE449C01025,Andrew Yule & Company Limited
ANGELONE,INE732I01021,Angel One Limited
ANIKINDS,INE087B01017,Anik Industries Limited
ANKITMETAL,INE106I01010,Ankit Metal & Power Limited
ANMOL,INE02AR01019,Anmol India Limited
ANNAPURNA,INE0MGM01017,Annapurna Swadisht Limited
ANNU,INE103001017,Annu Projects Limited
ANSALAPI,INE436A01026,Ansal Properties & Infrastructure Limited
ANSALBU,INE030C01015,Ansal Buildwell Limited
ANTELOPUS,INE818A01017,Antelopus Selan Energy Limited
ANTGRAPHIC,INE414B01021,Antarctica Limited
ANTHEM,INE0CZ201020,Anthem Biosciences Limited
ANUHPHR,INE489G01022,Anuh Pharma Limited
ANUP,INE294Z01018,The Anup Engineering Limited
ANURAS,INE930P01018,Anupam Rasayan India Limited
APARINDS,INE372A01015,Apar Industries Limited
APCL,INE071F01012,Anjani Portland Cement Limited
APCOTEXIND,INE116A01032,Apcotex Industries Limited
APEX,INE346W01013,Apex Frozen Foods Limited
APLAPOLLO,INE702C01027,APL Apollo Tubes Limited
APLLTD,INE901L01018,Alembic Pharmaceuticals Limited
APOLLO,INE713T01028,Apollo Micro Systems Limited
APOLLOHOSP,INE437A01024,Apollo Hospitals Enterprise Limited
APOLLOPIPE,INE126J01016,Apollo Pipes Limited
APOLLOTYRE,INE438A01022,Apollo Tyres Limited
APOLSINHOT,INE451F01024,Apollo Sindoori Hotels Limited
APOORVA,INE217S01014,Apoorva Leasing Finance and Investment Company Limited
APTECHT,INE266F01018,Aptech Limited
APTUS,INE852O01025,Aptus Value Housing Finance India Limited
AQYLON,INE416A01051,Aqylon Nexus Limited
ARCHIDPLY,INE877I01016,Archidply Industries Limited
ARCHIES,INE731A01020,Archies Limited
ARCL,INE372M01010,ARCL Organics Limited
ARDEE,INE0XNF01022,Ardee Industries Limited
ARE&M,INE885A01032,Amara Raja Energy & Mobility Limited
ARENTERP,INE610C01014,Rajdarshan Industries Limited
ARFIN,INE784R01023,Arfin India Limited
ARIES,INE298I01015,Aries Agro Limited
ARIHANT,INE413D01011,Arihant Foundations & Housing Limited
ARIHANTCAP,INE420B01036,Arihant Capital Markets Limited
ARIHANTSUP,INE643K01018,Arihant Superstructures Limited
ARIS,INE0H9P01028,Arisinfra Solutions Limited
ARKADE,INE0QRL01017,Arkade Developers Limited
ARMANFIN,INE109C01017,Arman Financial Services Limited
AROGRANITE,INE210C01013,Aro Granite Industries Limited
ARROWGREEN,INE570D01018,Arrow Greentech Limited
ARSHIYA,INE968D01022,Arshiya Limited
ARSSBL,INE549H01021,Anand Rathi Share and Stock Brokers Limited
ARTEMISMED,INE025R01021,Artemis Medicare Services Limited
ARTNIRMAN,INE738V01013,Art Nirman Limited
ARVEE,INE006Z01016,Arvee Laboratories (India) Limited
ARVIND,INE034A01011,Arvind Limited
ARVINDFASN,INE955V01021,Arvind Fashions Limited
ARVSMART,INE034S01021,Arvind SmartSpaces Limited
ARYAMAN,INE032E01017,Aryaman Financial Services Limited
ASAHIINDIA,INE439A01020,Asahi India Glass Limited
ASAHISONG,INE228I01012,Asahi Songwon Colors Limited
ASAL,INE900C01027,Automotive Stampings and Assemblies Limited
ASALCBR,INE073G01016,Associated Alcohols & Breweries Ltd.
ASHAPURMIN,INE348A01023,Ashapura Minechem Limited
ASHIANA,INE365D01021,Ashiana Housing Limited
ASHIKAG,INE094B01013,Ashika Global Securities Limited
ASHIMASYN,INE440A01010,Ashima Limited
ASHOKA,INE442H01029,Ashoka Buildcon Limited
ASHOKAMET,INE760Y01011,Ashoka Metcast Limited
ASHOKLEY,INE208A01029,Ashok Leyland Limited
ASIANENE,INE276G01015,Asian Energy Services Limited
ASIANHOTNR,INE363A01022,Asian Hotels (North) Limited
ASIANPAINT,INE021A01026,Asian Paints Limited
ASIANTILES,INE022I01019,Asian Granito India Limited
ASIANTNE,INE822B01017,Asian Tea & Exports Limited
ASKAUTOLTD,INE491J01022,ASK Automotive Limited
ASMS,INE855F01042,Avio Smart Market Stack Limited
ASPINWALL,INE991I01015,Aspinwall and Company Limited
ASSAMENT,INE165G01010,Assam Entrade Limited
ASTAR,INE194D01017,Asian Star Company Limited
ASTEC,INE563J01010,Astec LifeSciences Limited
ASTERDM,INE914M01019,Aster DM Quality Care Limited
ASTRAL,INE006I01046,Astral Limited
ASTRAMICRO,INE386C01029,Astra Microwave Products Limited
ASTRAZEN,INE203A01020,AstraZeneca Pharma India Limited
ASTRON,INE646X01014,Astron Paper & Board Mill Limited
ATALREAL,INE0ALR01029,Atal Realtech Limited
ATAM,INE09KD01013,Atam Valves Limited
ATGL,INE399L01023,Adani Total Gas Limited
ATHERENERG,INE0LEZ01016,Ather Energy Limited
ATL,INE0NN701020,Allcargo Terminals Limited
ATLANTAA,INE285H01022,ATLANTAA LIMITED
ATLANTAELE,INE0Z4F01028,Atlanta Electricals Limited
ATLASCYCLE,INE446A01025,Atlas Cycles (Haryana) Limited
ATUL,INE100A01010,Atul Limited
ATULAUTO,INE951D01028,Atul Auto Limited
AUBANK,INE949L01017,AU Small Finance Bank Limited
AUGMONT,INE16W401027,Augmont Enterprises Limited
AURIONPRO,INE132H01018,Aurionpro Solutions Limited
AUROPHARMA,INE406A01037,Aurobindo Pharma Limited
AURUM,INE898S01029,Aurum PropTech Limited
AURUS,INE142K01011,AURUS GEM CORPORATION LIMITED
AUSOMENT,INE218C01016,Ausom Enterprise Limited
AUSTENG,INE759F01012,Austin Engineering Company  Limited
AUTOAXLES,INE449A01011,Automotive Axles Limited
AUTOIND,INE718H01014,Autoline Industries Limited
AVADHSUGAR,INE349W01017,Avadh Sugar & Energy Limited
AVALON,INE0LCL01028,Avalon Technologies Limited
AVANCE,INE758A01072,Avance Technologies Limited
AVANTEL,INE005B01027,Avantel Limited
AVANTIFEED,INE871C01038,Avanti Feeds Limited
AVG,INE680Z01018,AVG Logistics Limited
AVL,INE679V01027,Aditya Vision Limited
AVONMORE,INE323B01024,Avonmore Capital & Management Services Limited
AVROIND,INE652Z01025,AVRO INDIA LIMITED
AVTNPL,INE488D01021,AVT Natural Products Limited
AWFIS,INE108V01019,Awfis Space Solutions Limited
AWHCL,INE01BK01022,Antony Waste Handling Cell Limited
AWL,INE699H01024,AWL Agri Business Limited
AXISBANK,INE238A01034,Axis Bank Limited
AXISCADES,INE555B01013,AXISCADES Technologies Limited
AXITA,INE02EZ01022,Axita Cotton Limited
AXTEL,INE767C01012,Axtel Industries Limited
AYE,INE501X01029,Aye Finance Limited
AYMSYNTEX,INE193B01039,AYM Syntex Limited
AZAD,INE02IJ01035,Azad Engineering Limited
AZADIND,INE566M01017,Azad India Mobility Limited
BAFNAPH,INE878I01022,Bafna Pharmaceuticals Limited
BAGFILMS,INE116D01028,B.A.G Films and Media Limited
BAIDFIN,INE020D01022,Baid Finserv Limited
BAJAJ-AUTO,INE917I01010,Bajaj Auto Limited
BAJAJCON,INE933K01021,Bajaj Consumer Care Limited
BAJAJELEC,INE193E01025,Bajaj Electricals Limited
BAJAJFINSV,INE918I01026,Bajaj Finserv Limited
BAJAJHCARE,INE411U01027,Bajaj Healthcare Limited
BAJAJHFL,INE377Y01014,Bajaj Housing Finance Limited
BAJAJHIND,INE306A01021,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,INE118A01012,Bajaj Holdings & Investment Limited
BAJAJINDEF,INE0O9T01021,Indef Manufacturing Limited
BAJAJST,INE704G01024,Bajaj Steel Industries Limited
BAJEL,INE0KQN01018,Bajel Projects Limited
BAJFINANCE,INE296A01032,Bajaj Finance Limited
BALAJEE,INE0S2G01011,Shree Tirupati Balajee Agro Trading Company Limited
BALAJITELE,INE794B01026,Balaji Telefilms Limited
BALAMINES,INE050E01027,Balaji Amines Limited
BALAXI,INE618N01022,BALAXI PHARMACEUTICALS LIMITED
BALKRISHNA,INE875R01011,Balkrishna Paper Mills Limited
BALKRISIND,INE787D01026,Balkrishna Industries Limited
BALMLAWRIE,INE164A01016,Balmer Lawrie & Company Limited
BALPHARMA,INE083D01012,Bal Pharma Limited
BALRAMCHIN,INE119A01028,Balrampur Chini Mills Limited
BALUFORGE,INE011E01029,Balu Forge Industries Limited
BANARBEADS,INE655B01011,Banaras Beads Limited
BANARISUG,INE459A01010,Bannari Amman Sugars Limited
BANCOINDIA,INE213C01025,Banco Products (I) Limited
BANDHANBNK,INE545U01014,Bandhan Bank Limited
BANG,INE863I01016,Bang Overseas Limited
BANKA,INE862Y01015,Banka BioLoo Limited
BANKBARODA,INE028A01039,Bank of Baroda
BANKINDIA,INE084A01016,Bank of India
BANSALWIRE,INE0B9K01025,Bansal Wire Industries Limited
BANSWRAS,INE629D01020,Banswara Syntex Limited
BASF,INE373A01013,BASF India Limited
BASML,INE186H01022,Bannari Amman Spinning Mills Limited
BATAINDIA,INE176A01028,Bata India Limited
BATLIBOI,INE177C01022,Batliboi Limited
BAYERCROP,INE462A01022,Bayer Cropscience Limited
BBL,INE464A01036,Bharat Bijlee Limited
BBOX,INE676A01027,Black Box Limited
BBTC,INE050A01025,The Bombay Burmah Trading Corporation Limited
BBTCL,INE01EE01011,B&B Triplewall Containers Limited
BCG,INE425B01027,Brightcom Group Limited
BCLIND,INE412G01024,Bcl Industries Limited
BCONCEPTS,INE977Y01011,Brand Concepts Limited
BCPL,INE00SW01015,BCPL Railway Infrastructure Limited
BDL,INE171Z01026,Bharat Dynamics Limited
BEARDSELL,INE520H01022,Beardsell Limited
BECTORFOOD,INE495P01020,Mrs. Bectors Food Specialities Limited
BEDMUTHA,INE844K01012,Bedmutha Industries Limited
BEEKAY,INE213D01015,Beekay Steel Industries Limited
BEL,INE263A01024,Bharat Electronics Limited
BELLACASA,INE344T01014,Bella Casa Fashion & Retail Limited
BELRISE,INE894V01022,Belrise Industries Limited
BEML,INE258A01024,BEML Limited
BENARAS,INE664D01019,Benares Hotels Limited
BENGALASM,INE083K01017,Bengal & Assam Company Limited
BEPL,INE922A01025,Bhansali Engineering Polymers Limited
BERGEPAINT,INE463A01038,Berger Paints (I) Limited
BESTAGRO,INE052T01021,Best Agrolife Limited
BETA,INE351Y01019,Beta Drugs Limited
BFINVEST,INE878K01010,BF Investment Limited
BFUTILITIE,INE243D01012,BF Utilities Limited
BGRENERGY,INE661I01014,BGR Energy Systems Limited
BHAGCHEM,INE414D01027,Bhagiradha Chemicals & Industries Limited
BHAGERIA,INE354C01027,Bhageria Industries Limited
BHAGYANGR,INE458B01036,Bhagyanagar India Limited
BHANDARI,INE474E01029,Bhandari Hosiery Exports Limited
BHARATCOAL,INE05XR01022,Bharat Coking Coal Limited
BHARATFORG,INE465A01025,Bharat Forge Limited
BHARATGEAR,INE561C01019,Bharat Gears Limited
BHARATRAS,INE838B01021,Bharat Rasayan Limited
BHARATSE,INE415D01024,Bharat Seats Limited
BHARATWIRE,INE316L01019,Bharat Wire Ropes Limited
BHARTIARTL,INE397D01024,Bharti Airtel Limited
BHARTIHEXA,INE343G01021,Bharti Hexacom Limited
BHEL,INE257A01026,Bharat Heavy Electricals Limited
BI,INE986A01012,Bilcare Limited
BIGBLOC,INE412U01025,Bigbloc Construction Limited
BIKAJI,INE00E101023,Bikaji Foods International Limited
BIL,INE828A01016,Bhartiya International Limited
BILVYAPAR,INE071A01013,BIL VYAPAR LIMITED
BIMETAL,INE469A01019,Bimetal Bearings Limited
BIOCON,INE376G01013,Biocon Limited
BIOFILCHEM,INE829A01014,Biofil Chemicals & Pharmaceuticals Limited
BIRLACABLE,INE800A01015,Birla Cable Limited
BIRLACORPN,INE340A01012,Birla Corporation Limited
BIRLAMONEY,INE865C01022,Aditya Birla Money Limited
BIRLANU,INE557A01011,BirlaNu Limited
BIRLAPREC,INE372E01025,Birla Precision Technologies Limited
BLACKBUCK,INE0UIZ01018,BLACKBUCK LIMITED
BLACKROSE,INE761G01016,Black Rose Inds. Limited
BLAL,INE0N7W01012,BEML Land Assets Limited
BLBLIMITED,INE791A01024,BLB Limited
BLEL,INE1EEM01017,Behari Lal Engineering Limited
BLIL,INE525F01025,Balmer Lawrie Investments Limited
BLISSGVS,INE416D01022,Bliss GVS Pharma Limited
BLKASHYAP,INE350H01032,B. L. Kashyap and Sons Limited
BLS,INE153T01027,BLS International Services Limited
BLSE,INE0NLT01010,BLS E-Services Limited
BLUECLOUDS,INE373T01047,Blue Cloud Softech Solutions Limited
BLUECOAST,INE472B01011,Blue Coast Hotels Limited
BLUEDART,INE233B01017,Blue Dart Express Limited
BLUEJET,INE0KBH01020,Blue Jet Healthcare Limited
BLUESTARCO,INE472A01039,Blue Star Limited
BLUESTONE,INE304W01038,BlueStone Jewellery and Lifestyle Limited
BLUSPRING,INE0U4101014,Bluspring Enterprises Limited
BMWVENTLTD,INE965W01036,BMW Ventures Limited
BNAGROCHEM,INE00HZ01011,BN Agrochem Limited
BNALTD,INE489D01011,B & A Limited
BODALCHEM,INE338D01028,Bodal Chemicals Limited
BOHRAIND,INE802W01023,Bohra Industries Limited
BOMDYEING,INE032A01023,Bombay Dyeing & Mfg Company Limited
BONLON,INE0B9A01018,Bonlon Industries Limited
BORANA,INE16SF01016,Borana Weaves Limited
BOROLTD,INE02PY01013,Borosil Limited
BORORENEW,INE666D01022,BOROSIL RENEWABLES LIMITED
BOROSCI,INE02L001032,Borosil Scientific Limited
BOSCH-HCIL,INE782A01015,BOSCH HOME COMFORT INDIA LIMITED
BOSCHLTD,INE323A01026,Bosch Limited
BPCL,INE029A01011,Bharat Petroleum Corporation Limited
BPL,INE110A01019,BPL Limited
BPLPHARMA,INE365Y01019,Bharat Parenterals Limited
BRAHMINFRA,INE320I01017,Brahmaputra Infrastructure Limited
BRIGADE,INE791I01019,Brigade Enterprises Limited
BRIGHOTEL,INE03NU01014,Brigade Hotel Ventures Limited
BRIGHTBR,INE630D01010,Bright Brothers Limited
BRITANNIA,INE216A01030,Britannia Industries Limited
BRNL,INE727S01012,Bharat Road Network Limited
BROOKS,INE650L01011,Brooks Laboratories Limited
BSE,INE118H01025,BSE Limited
BSHSL,INE032Z01020,Bombay Super Hybrid Seeds Limited
BSL,INE594B01012,BSL Limited
BSOFT,INE836A01035,BIRLASOFT LIMITED
BTML,INE0EEJ01023,Bodhi Tree Multimedia Limited
BTTL,INE274K01012,Bhilwara Technical Textiles Limited
BUILDPRO,INE24OJ01011,Shankara Buildpro Limited
BURNPUR,INE817H01022,Burnpur Cement Limited
BUTTERFLY,INE295F01017,Butterfly Gandhimathi Appliances Limited
BVCL,INE139I01011,Barak Valley Cements Limited
BYKE,INE319B01014,The Byke Hospitality Ltd
CALSOFT,INE526B01014,California Software Company Limited
CAMLINFINE,INE052I01032,Camlin Fine Sciences Limited
CAMPUS,INE278Y01022,Campus Activewear Limited
CAMS,INE596I01020,Computer Age Management Services Limited
CANBK,INE476A01022,Canara Bank
CANFINHOME,INE477A01020,Can Fin Homes Limited
CANHLIFE,INE01TY01017,Canara HSBC Life Insurance Company Limited
CANTABIL,INE068L01024,Cantabil Retail India Limited
CAPACITE,INE264T01014,Capacit'e Infraprojects Limited
CAPILLARY,INE0ILV01024,Capillary Technologies India Limited
CAPITALSFB,INE646H01017,Capital Small Finance Bank Limited
CAPLIPOINT,INE475E01026,Caplin Point Laboratories Limited
CAPTRUST,INE707C01018,Capital Trust Limited
CARBORUNIV,INE120A01034,Carborundum Universal Limited
CARERATING,INE752H01013,CARE Ratings Limited
CARRARO,INE0V7W01012,Carraro India Limited
CARTRADE,INE290S01011,Cartrade Tech Limited
CARYSIL,INE482D01024,CARYSIL LIMITED
CASTROLIND,INE172A01027,Castrol India Limited
CCAVENUE,INE483S01020,AvenuesAI Limited
CCCL,INE429I01024,Consolidated Construction Consortium Limited
CCHHL,INE652F01027,Country Club Hospitality & Holidays Limited
CCL,INE421D01022,CCL Products (India) Limited
CDSL,INE736A01011,Central Depository Services (India) Limited
CEATLTD,INE482A01020,CEAT Limited
CEIGALL,INE0AG901020,Ceigall India Limited
CEINSYS,INE016Q01014,Ceinsys Tech Limited
CELEBRITY,INE185H01016,Celebrity Fashions Limited
CELLO,INE0LMW01024,Cello World Limited
CEMPRO,INE686A01026,Cemindia Projects Limited
CENTENKA,INE485A01015,Century Enka Limited
CENTEXT,INE281A01026,Century Extrusions Limited
CENTRALBK,INE483A01010,Central Bank of India
CENTRUM,INE660C01027,Centrum Capital Limited
CENTUM,INE320B01020,Centum Electronics Limited
CENTURYPLY,INE348B01021,Century Plyboards (India) Limited
CERA,INE739E01017,Cera Sanitaryware Limited
CESC,INE486A01021,CESC Limited
CEWATER,INE037Z01029,Concord Enviro Systems Limited
CFEL,INE700F01024,Confidence Futuristic Energetech Limited
CGCL,INE180C01042,Capri Global Capital Limited
CGPOWER,INE067A01029,CG Power and Industrial Solutions Limited
CGVAK,INE084D01010,CG Vak Software & Exports Limited
CHALET,INE427F01016,Chalet Hotels Limited
CHAMBLFERT,INE085A01013,Chambal Fertilizers & Chemicals Limited
CHEMBOND,INE995D01025,Chembond Material Technologies Limited
CHEMBONDCH,INE0TGX01019,Chembond Chemicals Limited
CHEMCON,INE03YM01018,Chemcon Speciality Chemicals Limited
CHEMCRUX,INE298W01016,Chemcrux Enterprises Limited
CHEMFAB,INE783X01023,Chemfab Alkalis Limited
CHEMPLASTS,INE488A01050,Chemplast Sanmar Limited
CHENNPETRO,INE178A01016,Chennai Petroleum Corporation Limited
CHEVIOT,INE974B01016,Cheviot Company Limited
CHOICEIN,INE102B01014,Choice International Limited
CHOLAFIN,INE121A01024,Cholamandalam Investment and Finance Company Limited
CHOLAHLDNG,INE149A01033,Cholamandalam Financial Holdings Limited
CIEINDIA,INE536H01010,CIE Automotive India Limited
CIFL,INE345H01024,Capital India Finance Limited
CINELINE,INE704H01022,Cineline India Limited
CINEVISTA,INE039B01026,Cinevista Limited
CIPLA,INE059A01026,Cipla Limited
CLEAN,INE227W01023,Clean Science and Technology Limited
CLEANMAX,INE647U01026,Clean Max Enviro Energy Solutions Limited
CLEDUCATE,INE201M01029,CL Educate Limited
CLSEL,INE419D01026,Chaman Lal Setia Exports Limited
CMLL,INE11XY01018,Caliber Mining and Logistics Limited
CMPDI,INE05HV01027,Central Mine Planning & Design Institute Limited
CMRGREEN,INE00WV01027,CMR Green Technologies Limited
CMSINFO,INE925R01014,CMS Info Systems Limited
CNL,INE985W01018,Creative Newtech Limited
COALINDIA,INE522F01014,Coal India Limited
COASTCORP,INE377E01024,Coastal Corporation Limited
COCHINSHIP,INE704P01025,Cochin Shipyard Limited
COCKERILL,INE515A01019,John Cockerill India Limited
COFFEEDAY,INE335K01011,Coffee Day Enterprises Limited
COFORGE,INE591G01025,Coforge Limited
COHANCE,INE03QK01018,Cohance Lifesciences Limited
COLPAL,INE259A01022,Colgate Palmolive (India) Limited
COMFINTE,INE819A01049,Comfort Intech Limited
COMPEAU,INE823B01015,Competent Automobiles Company Limited
COMPINFO,INE070C01037,Compuage Infocom Limited
COMPUSOFT,INE453B01029,Compucom Software Limited
COMSYN,INE073V01015,Commercial Syn Bags Limited
CONCOR,INE111A01025,Container Corporation of India Limited
CONCORDBIO,INE338H01029,Concord Biotech Limited
CONFIPET,INE552D01024,Confidence Petroleum India Limited
CONSOFINVT,INE025A01027,Consolidated Finvest & Holdings Limited
CONTROLPR,INE663B01015,Control Print Limited
CORALFINAC,INE558D01021,Coral India Finance & Housing Limited
CORDELIA,INE0LZF01039,Waterways Leisure Tourism Limited
CORDSCABLE,INE792I01017,Cords Cable Industries Limited
COROMANDEL,INE169A01031,Coromandel International Limited
CORONA,INE02ZQ01018,CORONA Remedies Limited
COSMOFIRST,INE757A01017,COSMO FIRST LIMITED
COUNCODOS,INE695B01025,Country Condo's Limited
CPCAP,INE521J01018,CP Capital Limited
CPEDU,INE0P6P01016,Career Point Edutech Limited
CPL,INE536P01021,Captain Polyplast Limited
