event_id,evidence_url,evidence_title,evidence_organization,evidence_date,evidence_fact,missing_evidence,identity_conclusion
CA_05d4bfc29668bda65981,https://www.sundaramfinance.in/assets/app_docs/investor-info/others/composite_amalgamation/8.information-memorandum.pdf,Sundaram Finance Holdings information memorandum,Sundaram Finance,2018,Sundaram Finance shareholders received Holdings shares,Contemporaneous ex-date value for new Holdings shares,IDENTITY_CONFIRMED
CA_579830341255203fac84,https://nsearchives.nseindia.com/corporate/FR_17052022160502.pdf,Jubilant Ingrevia annual filing,NSE,2022-05-17,Jubilant Life Sciences demerged its life-sciences business into Ingrevia,Contemporaneous ex-date value for then-unlisted Ingrevia,IDENTITY_CONFIRMED
CA_73f2fd7856e2a8f125ac,https://www.bseindia.com/downloads/SPDJ_ANN/MediaReleasePDF/620350_mediarelease-changestos%26pbse500index-20171122.pdf,Index action for Praxis Home Retail separation,BSE,2017-11-22,Future Retail separated its home retail business,Contemporaneous ex-date value and complete holder ratio for Praxis shares,IDENTITY_CONFIRMED
CA_ee115bb800808115f870,https://research.ftserussell.com/products/index-notices/home/getnotice/?id=1357862,Arvind Infrastructure demerger index notice,FTSE Russell,2015,Arvind Infrastructure did not trade on the ex-date,Contemporaneous ex-date value for unlisted Arvind Infrastructure,IDENTITY_CONFIRMED
CA_019fd8c24a498ee04449,https://www.sebi.gov.in/sebi_data/attachdocs/1407492759261.pdf,Lakshmi Vilas Bank rights offer,SEBI,2014,Rights entitlement arose for ordinary shareholders,Point-in-time market value of the rights entitlement and confirmed treatment of coincident dividend,IDENTITY_CONFIRMED
CA_1ef6e0f15339c33531c0,https://research.ftserussell.com/products/index-notices/home/getnotice/?id=1360484,Max group demerger index notice,FTSE Russell,2016,Max Financial demerger distributed new Max India and Max Ventures shares,Contemporaneous ex-date values for distributed unlisted shares,IDENTITY_CONFIRMED
CA_26c975868bc50d05ca8c,https://research.ftserussell.com/products/index-notices/home/getnotice/?id=2587448,Gayatri Highway demerger index notice,FTSE Russell,2018,Gayatri Projects shareholders received Gayatri Highway shares,Contemporaneous ex-date value for new Highway share,IDENTITY_CONFIRMED
CA_426563cd086ccfc19532,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_MSUMI.pdf,Motherson Sumi Wiring India information memorandum,NSE,2022,Motherson Sumi Systems distributed new wiring-company shares,Contemporaneous ex-date value for then-unlisted wiring shares,IDENTITY_CONFIRMED
CA_9e4a3e84724b4ddd5a30,https://nsearchives.nseindia.com/corporate/KPIT_15012019181317_Investorupdate_208.pdf,KPIT scheme investor update,NSE,2019-01-15,KPIT restructuring separated engineering and IT shares,Contemporaneous ex-date value for new engineering share,IDENTITY_CONFIRMED
CA_10d544d633d683f23dca,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/IM_BLAL.pdf,BEML Land Assets information memorandum,NSE,2023,BEML land business was demerged to BEML Land Assets,Contemporaneous ex-date value for then-unlisted Land Assets share,IDENTITY_CONFIRMED
CA_4c8e2f9282e35bca8325,https://research.ftserussell.com/products/index-notices/home/getnotice?id=2593883,Tata Communications Hemisphere demerger notice,FTSE Russell,2019,Tata Communications distributed Hemisphere Properties entitlement,Contemporaneous ex-date value for unlisted Hemisphere Properties,IDENTITY_CONFIRMED
CA_9712390351bb6336e11a,https://nsearchives.nseindia.com/corporate/GRASIM_26072019113602_Grasim_Annual_Report_FY19_Final_046.pdf,Grasim annual report,NSE,2019-07-26,Grasim separated its financial-services business into Aditya Birla Capital,Contemporaneous ex-date value for then-unlisted Aditya Birla Capital,IDENTITY_CONFIRMED
CA_8d241ef7b6f51f1aae85,https://research.ftserussell.com/products/index-notices/home/getnotice/?id=1357903,Adani Enterprises demerger index notice,FTSE Russell,2015,Adani distribution included listed and unlisted successor interests,Complete evidenced ex-date valuation of every distributed economic leg,IDENTITY_CONFIRMED
CA_9a44748e33a9e6bfc8f7,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/scheme_IDFCBANK_IM.pdf,IDFC Bank information memorandum,NSE,2015,IDFC shareholders received IDFC Bank shares under scheme,Contemporaneous ex-date value for then-unlisted IDFC Bank,IDENTITY_CONFIRMED
CA_2a13e69ce26f43736219,https://www.zee.com/shareholder-services/,Zee shareholder services,Zee Entertainment,2014,Zee distributed redeemable preference shares to ordinary holders,Contemporaneous ex-date value for the preference-share entitlement,IDENTITY_CONFIRMED
CA_58169035bd7640bbf863,https://www.sebi.gov.in/sebi_data/attachdocs/1397559703701.pdf,Tata Power rights offer,SEBI,2014,Rights entitlement arose for Tata Power shareholders,Confirmed final rights ratio and point-in-time market value of entitlement; filed sources conflict on ratio,IDENTITY_CONFIRMED
CA_8274f48d00b93a70bd00,https://www.sebi.gov.in/sebi_data/attachdocs/1398423018558.pdf,ILFS Transportation rights offer,SEBI,2014,Rights entitlement arose for ILFS Transportation shareholders,Point-in-time market value of rights entitlement,IDENTITY_CONFIRMED
CA_943bf15d9518ab3239fe,https://www.sebi.gov.in/web/?file=%2Fsebi_data%2Fattachdocs%2F1392876830610.pdf,Wheels India rights offer,SEBI,2014,Rights entitlement arose for Wheels India shareholders,Point-in-time market value of rights entitlement,IDENTITY_CONFIRMED
CA_f8990b3551e9950dca04,https://nsearchives.nseindia.com/corporates/offerdocument/scheme/scheme_WELSPUN_IM.pdf,Welspun Enterprises information memorandum,NSE,2014,Welspun Corp shareholders received Enterprises shares under demerger,Contemporaneous ex-date value for then-unlisted Enterprises,IDENTITY_CONFIRMED
CA_c0367514c7cc21c72f42,https://marico.com/global/media/detail/marico-consolidates-fmcg-business-demerges-kaya-to-be-listed-separately-as-marico-kaya-enterprises-ltd?id=211&type=press,Marico Kaya separation announcement,Marico,2013,Marico distributed Marico Kaya shares and announced an interim dividend,Contemporaneous ex-date value for unlisted Kaya shares and complete cash treatment,IDENTITY_CONFIRMED
CA_25d92bfd331e98d5bc85,https://www.idfcfirst.bank.in/content/dam/IDFCFirstBank/PDF/Annual-reports/IDFC-FIRST-Bank-Annual-Report-2019.pdf,IDFC FIRST Bank annual report,IDFC FIRST Bank,2019,Debt securities use H3 series and separate bond ISINs; source describes buyback payment to bondholders,Exact historical bond ISIN is not established by retroactive source field,NON_EQUITY_BOND_SERIES_NO_SIGNAL_OVERLAP
CA_eb8ec60bd0c8f1584789,https://www.idfcfirst.bank.in/content/dam/IDFCFirstBank/PDF/Annual-reports/IDFC-FIRST-Bank-Annual-Report-2019.pdf,IDFC FIRST Bank annual report,IDFC FIRST Bank,2019,Debt securities use H4 series and separate bond ISINs; source describes buyback payment to bondholders,Exact historical bond ISIN is not established by retroactive source field,NON_EQUITY_BOND_SERIES_NO_SIGNAL_OVERLAP
CA_a4d21420673221a0b482,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-08-2018&to_date=31-08-2018,NSE corporate action record,NSE,2018-08-29,EQ issuer and ISIN match accepted Monnet Ispat identity; last official membership ended 2015-09-28,None for signal; capital reduction economics remain outside signal scope,EQUITY_IDENTITY_CONFIRMED_NO_LOOKBACK_OVERLAP
CA_8bd79e7b22c050462139,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-07-2022&to_date=31-07-2022,NSE corporate action record,NSE,2022-07-22,EQ issuer and ISIN match accepted Supreme Petrochem identity; last official membership ended 2022-04-07,None for signal; Rs 14 cash dividend was outside relevant lookback,EQUITY_IDENTITY_CONFIRMED_NO_LOOKBACK_OVERLAP
